CMDLINE python run_correccion.py
MEM 227.886719 1691516105.4158
MEM 231.699219 1691516105.5162
MEM 227.980469 1691516105.6165
MEM 227.980469 1691516105.7168
MEM 228.191406 1691516105.8171
MEM 228.207031 1691516105.9174
MEM 228.210938 1691516106.0178
MEM 235.812500 1691516106.1182
MEM 228.257812 1691516106.2186
MEM 228.285156 1691516106.3190
MEM 228.343750 1691516106.4194
MEM 228.378906 1691516106.5198
MEM 228.378906 1691516106.6202
MEM 228.378906 1691516106.7206
MEM 228.453125 1691516106.8210
MEM 228.472656 1691516106.9214
MEM 228.472656 1691516107.0217
MEM 228.472656 1691516107.1221
MEM 228.472656 1691516107.2225
MEM 228.472656 1691516107.3228
MEM 228.484375 1691516107.4233
MEM 228.492188 1691516107.5237
MEM 228.492188 1691516107.6240
MEM 228.621094 1691516107.7243
MEM 228.632812 1691516107.8247
MEM 228.632812 1691516107.9250
MEM 228.652344 1691516108.0254
MEM 228.656250 1691516108.1258
MEM 228.664062 1691516108.2262
MEM 228.714844 1691516108.3265
MEM 228.757812 1691516108.4269
MEM 228.757812 1691516108.5273
MEM 228.929688 1691516108.6276
MEM 228.941406 1691516108.7280
MEM 228.941406 1691516108.8284
MEM 236.023438 1691516108.9287
MEM 229.519531 1691516109.0291
MEM 229.546875 1691516109.1294
MEM 235.886719 1691516109.2299
MEM 229.648438 1691516109.3303
MEM 229.648438 1691516109.4306
MEM 233.703125 1691516109.5310
MEM 229.851562 1691516109.6313
MEM 229.851562 1691516109.7317
MEM 233.921875 1691516109.8321
MEM 229.929688 1691516109.9324
MEM 229.949219 1691516110.0328
MEM 230.750000 1691516110.1332
MEM 230.058594 1691516110.2336
MEM 230.058594 1691516110.3340
MEM 230.828125 1691516110.4343
MEM 230.285156 1691516110.5347
MEM 230.285156 1691516110.6351
MEM 230.296875 1691516110.7355
MEM 230.339844 1691516110.8359
MEM 230.367188 1691516110.9362
MEM 230.402344 1691516111.0366
MEM 230.480469 1691516111.1370
MEM 230.519531 1691516111.2373
MEM 230.519531 1691516111.3376
MEM 230.519531 1691516111.4379
MEM 231.468750 1691516111.5382
MEM 232.152344 1691516111.6385
MEM 232.585938 1691516111.7388
MEM 232.839844 1691516111.8391
MEM 233.300781 1691516111.9394
MEM 233.554688 1691516112.0398
MEM 233.812500 1691516112.1401
MEM 234.070312 1691516112.2404
MEM 234.328125 1691516112.3407
MEM 234.585938 1691516112.4411
MEM 234.843750 1691516112.5414
MEM 235.359375 1691516112.6418
MEM 235.617188 1691516112.7421
MEM 235.875000 1691516112.8424
MEM 236.132812 1691516112.9428
MEM 236.390625 1691516113.0431
MEM 236.648438 1691516113.1434
MEM 236.906250 1691516113.2438
MEM 237.164062 1691516113.3441
MEM 237.359375 1691516113.4444
MEM 237.613281 1691516113.5447
MEM 238.128906 1691516113.6450
MEM 238.527344 1691516113.7453
MEM 238.785156 1691516113.8457
MEM 239.042969 1691516113.9460
MEM 239.300781 1691516114.0464
MEM 239.816406 1691516114.1468
MEM 239.816406 1691516114.2471
MEM 240.074219 1691516114.3474
MEM 240.332031 1691516114.4477
MEM 240.589844 1691516114.5481
MEM 240.589844 1691516114.6484
MEM 240.816406 1691516114.7487
MEM 241.074219 1691516114.8490
MEM 241.589844 1691516114.9493
MEM 242.105469 1691516115.0497
MEM 242.621094 1691516115.1500
MEM 243.003906 1691516115.2503
MEM 243.492188 1691516115.3507
MEM 243.746094 1691516115.4510
MEM 244.003906 1691516115.5514
MEM 244.261719 1691516115.6517
MEM 244.882812 1691516115.7520
MEM 244.925781 1691516115.8523
MEM 245.089844 1691516115.9526
MEM 245.347656 1691516116.0529
MEM 245.605469 1691516116.1533
MEM 245.863281 1691516116.2536
MEM 246.121094 1691516116.3540
MEM 246.378906 1691516116.4543
MEM 246.566406 1691516116.5547
MEM 246.886719 1691516116.6550
MEM 247.140625 1691516116.7553
MEM 247.140625 1691516116.8556
MEM 247.398438 1691516116.9559
MEM 247.847656 1691516117.0562
MEM 247.847656 1691516117.1565
MEM 248.101562 1691516117.2569
MEM 248.359375 1691516117.3571
MEM 248.714844 1691516117.4573
MEM 248.968750 1691516117.5576
MEM 249.226562 1691516117.6579
MEM 249.351562 1691516117.7583
MEM 249.605469 1691516117.8586
MEM 249.863281 1691516117.9590
MEM 250.121094 1691516118.0593
MEM 250.378906 1691516118.1596
MEM 250.636719 1691516118.2600
MEM 250.636719 1691516118.3603
MEM 250.894531 1691516118.4606
MEM 251.152344 1691516118.5610
MEM 251.410156 1691516118.6613
MEM 251.667969 1691516118.7616
MEM 251.914062 1691516118.8619
MEM 252.218750 1691516118.9622
MEM 252.218750 1691516119.0626
MEM 252.472656 1691516119.1629
MEM 252.839844 1691516119.2632
MEM 253.093750 1691516119.3635
MEM 253.351562 1691516119.4638
MEM 253.351562 1691516119.5641
MEM 253.609375 1691516119.6644
MEM 254.000000 1691516119.7646
MEM 254.253906 1691516119.8649
MEM 254.507812 1691516119.9651
MEM 254.839844 1691516120.0654
MEM 255.242188 1691516120.1656
MEM 255.496094 1691516120.2660
MEM 255.496094 1691516120.3663
MEM 255.753906 1691516120.4665
MEM 256.011719 1691516120.5668
MEM 256.269531 1691516120.6671
MEM 256.507812 1691516120.7673
MEM 259.339844 1691516120.8676
MEM 260.109375 1691516120.9679
MEM 260.625000 1691516121.0682
MEM 263.460938 1691516121.1684
MEM 263.699219 1691516121.2688
MEM 264.214844 1691516121.3691
MEM 264.730469 1691516121.4694
MEM 264.988281 1691516121.5697
MEM 265.503906 1691516121.6700
MEM 265.761719 1691516121.7702
MEM 265.761719 1691516121.8705
MEM 266.019531 1691516121.9708
MEM 266.019531 1691516122.0711
MEM 266.277344 1691516122.1715
MEM 266.277344 1691516122.2719
MEM 266.277344 1691516122.3722
MEM 266.535156 1691516122.4725
MEM 266.792969 1691516122.5728
MEM 267.050781 1691516122.6730
MEM 267.050781 1691516122.7733
MEM 267.308594 1691516122.8736
MEM 267.566406 1691516122.9739
MEM 267.824219 1691516123.0742
MEM 268.082031 1691516123.1745
MEM 268.339844 1691516123.2748
MEM 268.339844 1691516123.3751
MEM 268.597656 1691516123.4754
MEM 268.855469 1691516123.5757
MEM 269.113281 1691516123.6759
MEM 269.371094 1691516123.7762
MEM 269.628906 1691516123.8764
MEM 269.628906 1691516123.9767
MEM 275.484375 1691516124.0771
MEM 270.031250 1691516124.1774
MEM 270.031250 1691516124.2778
MEM 270.031250 1691516124.3781
MEM 270.187500 1691516124.4785
MEM 272.671875 1691516124.5788
MEM 270.398438 1691516124.6792
MEM 270.398438 1691516124.7795
MEM 270.652344 1691516124.8799
MEM 270.652344 1691516124.9802
MEM 271.453125 1691516125.0806
MEM 271.457031 1691516125.1809
MEM 271.457031 1691516125.2813
MEM 271.457031 1691516125.3816
MEM 272.484375 1691516125.4820
MEM 272.121094 1691516125.5823
MEM 272.878906 1691516125.6827
MEM 272.878906 1691516125.7830
MEM 272.878906 1691516125.8834
MEM 273.132812 1691516125.9837
MEM 273.566406 1691516126.0840
MEM 274.609375 1691516126.1843
MEM 274.613281 1691516126.2847
MEM 274.613281 1691516126.3850
MEM 274.613281 1691516126.4853
MEM 276.414062 1691516126.5856
MEM 276.371094 1691516126.6859
MEM 276.371094 1691516126.7862
MEM 276.371094 1691516126.8866
MEM 276.621094 1691516126.9869
MEM 278.121094 1691516127.0872
MEM 278.121094 1691516127.1875
MEM 278.121094 1691516127.2878
MEM 278.371094 1691516127.3882
MEM 279.878906 1691516127.4885
MEM 279.882812 1691516127.5889
MEM 279.882812 1691516127.6892
MEM 280.136719 1691516127.7896
MEM 281.363281 1691516127.8899
MEM 281.636719 1691516127.9903
MEM 281.636719 1691516128.0906
MEM 281.636719 1691516128.1909
MEM 284.921875 1691516128.2912
MEM 283.378906 1691516128.3916
MEM 283.378906 1691516128.4919
MEM 283.378906 1691516128.5921
MEM 283.625000 1691516128.6924
MEM 284.066406 1691516128.7927
MEM 285.125000 1691516128.8930
MEM 285.128906 1691516128.9933
MEM 285.375000 1691516129.0935
MEM 285.375000 1691516129.1938
MEM 285.625000 1691516129.2942
MEM 286.324219 1691516129.3945
MEM 287.105469 1691516129.4949
MEM 287.105469 1691516129.5952
MEM 287.105469 1691516129.6954
MEM 287.359375 1691516129.7957
MEM 290.710938 1691516129.8960
MEM 288.855469 1691516129.9964
MEM 288.855469 1691516130.0966
MEM 288.855469 1691516130.1969
MEM 289.109375 1691516130.2973
MEM 290.332031 1691516130.3977
MEM 290.648438 1691516130.4981
MEM 290.695312 1691516130.5985
MEM 290.695312 1691516130.6988
MEM 290.695312 1691516130.7992
MEM 290.941406 1691516130.8995
MEM 291.351562 1691516130.9999
MEM 292.394531 1691516131.1002
MEM 292.394531 1691516131.2006
MEM 292.394531 1691516131.3009
MEM 292.632812 1691516131.4013
MEM 294.160156 1691516131.5016
MEM 294.164062 1691516131.6020
MEM 294.164062 1691516131.7023
MEM 294.417969 1691516131.8026
MEM 295.933594 1691516131.9030
MEM 295.933594 1691516132.0034
MEM 295.933594 1691516132.1037
MEM 296.187500 1691516132.2040
MEM 299.218750 1691516132.3044
MEM 297.699219 1691516132.4048
MEM 297.703125 1691516132.5051
